Project,Project Link,Size,Organization,Manufactured (AIVT) by,Costs,Source,Funded primarily by
CUTE,../sat/cute.html,6U,University of Colorado Boulder,In-house,"The budget for developing, assembling and operating CUTE through the summer of 2024 is about $5.5 million.",https://spacenews.com/cubesat-offers-template-for-future-astronomy-missions/,
DAILI,../sat/daili.html,6U (1x6U),Aerospace Corporation,In-house,Cost to completion was $3.2M.,https://aerospace.org/press-release/aerospace-gets-28m-nasa-grant-study-atmosphere,NASA
AISTECHSAT (DANU) 2U,../sat/aistechsat.html,2U,Aistech,GomSpace,"$1,570,000 for additional 6 DANU platforms and for AIVT of 10 DANU CubeSats",https://gomspace.com/news/gomspace-and-aistech-sign-new-agreement.aspx,
Deorbitsail,../sat/deorbitsail.html,3U,EU FP7 consortium,SSTL,"$3,200,000 for the whole project and consortium including platform and launch",https://cordis.europa.eu/project/rcn/97975/reporting/en,EU / European Commission
Diamond 6U (Sky and Space Global),../sat/diamond-6u.html,6U,Sky and Space,GomSpace,"$5,950,000 is the order value for the first batch of 8 CubeSats",https://gomspace.com/news/6u-agreement-between-gomspace-and-sky-and-spa.aspx,
DOVER,../sat/dover.html,3U,RHEA Group,Open Cosmos,Co-funded by the UK Space Agency’s investment in the European Space Agency’s NAVISP.,,
DUPLEX,../sat/duplex.html,6U,CU Aerospace,NearSpace Launch,$1.7 million,https://aerospace.illinois.edu/news/nasa-funds-long-standing-partners-cubesat-development?fbclid=IwAR1Fd1cpimSsh19dRQfbJpp5dSAj2M2bDkqmViQ5EYdYxYwBEzn8tMKytPo,NASA
E.T.PACK DMM & EEM,../sat/etpack-dmm-eem.html,12U,Universidad Carlos III de Madrid,?,€5.5M,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5419&context=smallsat,EU / European Commission
Edison,../sat/edison.html,8U,Space Inventor,Space Inventor,"$0.96M million for spacecraft, launch and operation.",https://www.linkedin.com/posts/space-inventor_we-are-happy-to-announce-that-space-inventor-activity-6762415859404181505-M2qs/,ESA (European Space Agency)The Danish MInistry of Higher Education and Science
EIRSAT-1,../sat/eirsat-1.html,2U,University College Dublin,In-house,€1.5 million,https://europeanspaceflight.com/ireland-commit-3-3m-euros-more-to-esa-for-2024/,Irish Research CouncilESA (European Space Agency)
EPICHyper,../sat/wyvern-cubesats.html,6U,AAC Clyde Space,AAC Clyde Space,$12.1 million from the UK Space Agency together for the first and second phases.,https://spacenews.com/aac-clyde-space-to-develop-cubesats-to-offer-array-of-services/,UK Space Agency
ET-SMART-RSS,../sat/et-smart-rss.html,6U,Ethiopian Space Science & Technology Institute (ESSTI),Smart Satellite,$1.5 million in total funded jointly by the Belt & Road Initiative and Sunny Group.,,
FACSAT,../sat/facsat.html,6U,Colombian Air Force,GomSpace,"$770,000",https://gomspace.com/news/the-colombian-air-force-initiates-its-second-.aspx,
Faraday-1,../sat/faraday-1.html,6U,In-Space Missions,In-house?,£4.9 million for this and future validation missions.,https://www.gov.uk/government/news/british-built-satellites-will-help-fight-climate-change-and-save-wildlife,
GEMS (Orbital Micro Systems),../sat/gems-orbital-micro-systems.html,6U,Orbital Micro Systems,AAC Clyde Space,"$785,000",https://investor.aac-clyde.space/en/press-releases/aac-clyde-space-wins-8-msek-order-for-commercial-satellite-75931,UK Space Launch Programme
GOMX-5,../sat/gomx-5.html,8U,GomSpace,GomSpace,Over $2 million in total as of 2020.,https://gomspace.com/news/esa-and-gomspace-sign-contract-for-continuati.aspx,
HAMMER (IOD6),../sat/hammer.html,6U,Open Cosmos,Open Cosmos,£3 million to support the build of the new satellite,https://www.open-cosmos.com/news/open-cosmos-to-build-the-uk-pathfinder-atlantic-constellation-satellite-to-use-ai-to-improve-environmental-management,UK Space Agency
Hellenic Space Dawn,../sat/hellenic-space-dawn.html,8U,EMTech Space,?,€4 million,https://www.kathimerini.gr/society/562723270/erchetai-sminos-ellinikon-nanodoryforon/,
HERMES-SP,../sat/hermes.html,3U,INAF (National Institute for Astrophysics),Politecnico di Milano,"$3,950,000 for the whole consortium including 6 spacecraft (HERMES-SP, HERMES-TP) with launches and operations",https://cordis.europa.eu/project/rcn/218722/factsheet/en,EU / European CommissionItalian Space Agency (ASI)
Hyperion 1,../sat/hyperion.html,12U,Inovor,Inovor,$3.85 million,https://www.minister.defence.gov.au/minister/melissa-price/media-releases/28-million-innovation-boost-australias-defence-industry,Australian Defence Force
Infante,../sat/infante.html,16U,Tekever,In-house,$10 million for total costs of the consortium.,https://www.tekever.com/projects/infante/,EU / European Commission
InspireSAT,../sat/inspiresat.html,12U,StarSpec,?,$2.15 million,https://spaceq.ca/starspec-12u-inspiresat-demo-satellite-launch-expected-mid-2027/,Canadian Space Agency
Intuition-1,../sat/intuition-1.html,6U,KP Labs,AAC Clyde Space,"$1,200,000 for design, manufacturing, launch and early operations. $650,000 is for the platform.",http://investor.aacmicrotec.com/pressmeddelanden/aac-microtec-wins-5-msek-launch-order-from-kp-labs-69761?page=3,
Io-1,../sat/io-1.html,4U,Iota Technology,AAC Clyde Space,$2.5 million for end-to-end 3-year mission.,https://investor.aac-clyde.space/en/press-releases/?slug=aac-clyde-space-wins-sek-25-5-m-order-for-magquest-mission-21158,
